sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.2050	Failed	Failed
2.4047	Failed	Failed
3.6079	Failed	Failed
4.8132	Failed	Failed
6.0182	Failed	Failed
7.2219	Failed	Failed
8.4262	Failed	Failed
9.6216	Failed	Failed
10.8272	Failed	Failed
12.0317	Failed	Failed
13.2371	Failed	Failed
14.4429	Failed	Failed
15.6493	Failed	Failed
16.8547	Failed	Failed
18.0579	Failed	Failed
19.2629	Failed	Failed
20.4676	Failed	Failed
21.6725	Failed	Failed
22.8773	Failed	Failed
24.0828	Failed	Failed
25.2869	Failed	Failed
26.4894	Failed	Failed
27.6936	Failed	Failed
28.8992	Failed	Failed
30.1034	Failed	Failed
31.3081	Failed	Failed
32.5132	Failed	Failed
33.7196	Failed	Failed
34.9246	Failed	Failed
36.1300	Failed	Failed
37.3257	Failed	Failed
38.5287	Failed	Failed
39.7271	Failed	Failed
40.9326	Failed	Failed
42.1380	Failed	Failed
43.3425	Failed	Failed
44.5463	Failed	Failed
45.7530	Failed	Failed
46.9295	Failed	Failed
48.1060	Failed	Failed
49.2763	Failed	Failed
50.4484	Failed	Failed
51.6220	Failed	Failed
52.8032	Failed	Failed
54.0075	Failed	Failed
55.2128	Failed	Failed
56.4180	Failed	Failed
57.6225	Failed	Failed
58.8280	Failed	Failed
60.0295	Failed	Failed
61.2344	Failed	Failed
62.4339	Failed	Failed
63.6355	Failed	Failed
64.8380	Failed	Failed
66.0377	Failed	Failed
67.2433	Failed	Failed
68.4485	Failed	Failed
69.6447	Failed	Failed
70.8466	Failed	Failed
72.0484	Failed	Failed
73.2464	Failed	Failed
74.4384	Failed	Failed
75.6314	Failed	Failed
76.8274	Failed	Failed
78.0328	Failed	Failed
79.2364	Failed	Failed
80.4404	Failed	Failed
81.6459	Failed	Failed
82.8460	Failed	Failed
84.0455	Failed	Failed
85.2507	Failed	Failed
86.4543	Failed	Failed
87.6583	Failed	Failed
88.8615	Failed	Failed
90.0640	Failed	Failed
91.2681	Failed	Failed
92.4742	Failed	Failed
93.6768	Failed	Failed
94.8801	Failed	Failed
96.0824	Failed	Failed
97.2863	Failed	Failed
98.4899	Failed	Failed
99.6943	Failed	Failed
100.8988	Failed	Failed
102.0973	Failed	Failed
103.2981	Failed	Failed
104.5005	Failed	Failed
105.7034	Failed	Failed
106.9074	Failed	Failed
108.1126	Failed	Failed
109.3172	Failed	Failed
110.5223	Failed	Failed
111.7271	Failed	Failed
112.9293	Failed	Failed
114.1300	Failed	Failed
115.3341	Failed	Failed
116.5381	Failed	Failed
117.7419	Failed	Failed
118.9460	Failed	Failed
120.1501	Failed	Failed
121.3537	Failed	Failed
122.5567	Failed	Failed
123.7593	Failed	Failed
124.9633	Failed	Failed
126.1657	Failed	Failed
127.3673	Failed	Failed
128.5697	Failed	Failed
129.7621	Failed	Failed
130.9649	Failed	Failed
132.1700	Failed	Failed
133.3723	Failed	Failed
134.5760	Failed	Failed
135.7790	Failed	Failed
136.9827	Failed	Failed
138.1865	Failed	Failed
139.3917	Failed	Failed
140.5957	Failed	Failed
141.7964	Failed	Failed
142.9994	Failed	Failed
144.2019	Failed	Failed
145.4031	Failed	Failed
146.6046	Failed	Failed
147.8085	Failed	Failed
149.0141	Failed	Failed
150.2113	Failed	Failed
151.4133	Failed	Failed
152.6150	Failed	Failed
153.8190	Failed	Failed
155.0232	Failed	Failed
156.2281	Failed	Failed
157.4273	Failed	Failed
158.6304	Failed	Failed
159.8307	Failed	Failed
161.0352	Failed	Failed
162.2396	Failed	Failed
163.4447	Failed	Failed
164.6486	Failed	Failed
165.8498	Failed	Failed
167.0516	Failed	Failed
168.2576	Failed	Failed
169.4616	Failed	Failed
170.6658	Failed	Failed
171.8686	Failed	Failed
173.0684	Failed	Failed
174.2718	Failed	Failed
175.4705	Failed	Failed
176.6736	Failed	Failed
177.8754	Failed	Failed
179.0772	Failed	Failed
180.2791	Failed	Failed
181.4775	Failed	Failed
182.6798	Failed	Failed
183.8838	Failed	Failed
185.0870	Failed	Failed
186.2902	Failed	Failed
187.4940	Failed	Failed
188.6954	Failed	Failed
189.8935	Failed	Failed
191.0932	Failed	Failed
192.2930	Failed	Failed
193.4961	Failed	Failed
194.6982	0.00	0.00
195.9001	0.00	0.00
197.1009	0.00	0.00
202.8529	0.00	0.00
204.1628	0.00	0.00
204.5155	0.00	0.00
204.8773	0.00	0.00
205.2304	0.00	0.00
205.5902	0.00	0.00
205.9332	0.00	0.00
206.2720	0.00	0.00
206.6233	0.00	0.00
206.9910	0.00	0.00
207.3464	0.00	0.00
207.6904	0.00	0.00
208.0347	0.00	0.00
208.3725	0.00	0.00
208.7246	0.00	0.00
209.0692	0.00	0.00
