sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
0.7434	Failed	Failed
1.4900	Failed	Failed
2.2341	Failed	Failed
2.9799	Failed	Failed
3.7256	Failed	Failed
4.4684	Failed	Failed
5.2109	Failed	Failed
5.9553	Failed	Failed
6.7026	Failed	Failed
7.4474	Failed	Failed
8.1932	Failed	Failed
8.9370	Failed	Failed
9.6814	Failed	Failed
10.4104	Failed	Failed
11.1531	Failed	Failed
11.8963	Failed	Failed
12.6394	Failed	Failed
13.3839	Failed	Failed
14.1266	Failed	Failed
14.8714	Failed	Failed
15.6160	Failed	Failed
16.3591	Failed	Failed
17.1036	Failed	Failed
17.8506	Failed	Failed
18.5947	Failed	Failed
19.3391	Failed	Failed
20.0850	Failed	Failed
20.8321	Failed	Failed
21.5796	Failed	Failed
22.3239	Failed	Failed
23.0685	Failed	Failed
23.8120	Failed	Failed
24.5579	Failed	Failed
25.3034	Failed	Failed
26.0482	Failed	Failed
26.7944	Failed	Failed
27.5405	Failed	Failed
28.2866	Failed	Failed
29.0318	Failed	Failed
29.7766	Failed	Failed
30.5205	Failed	Failed
31.2639	Failed	Failed
32.0080	Failed	Failed
32.7508	Failed	Failed
33.4933	Failed	Failed
34.2350	Failed	Failed
34.9776	Failed	Failed
35.7209	Failed	Failed
36.4643	Failed	Failed
37.2089	Failed	Failed
37.9539	Failed	Failed
38.6978	Failed	Failed
39.4409	Failed	Failed
40.1830	Failed	Failed
40.9263	Failed	Failed
41.6708	Failed	Failed
42.4141	Failed	Failed
43.1576	Failed	Failed
43.9004	Failed	Failed
44.6448	Failed	Failed
45.3875	Failed	Failed
46.1300	Failed	Failed
46.8734	Failed	Failed
47.6192	Failed	Failed
48.3625	Failed	Failed
49.1060	Failed	Failed
49.8498	Failed	Failed
50.5939	Failed	Failed
51.3376	Failed	Failed
52.0813	Failed	Failed
52.8263	Failed	Failed
53.5701	Failed	Failed
54.3120	Failed	Failed
55.0571	Failed	Failed
55.8024	Failed	Failed
56.5463	Failed	Failed
57.2900	Failed	Failed
58.0310	Failed	Failed
58.7756	Failed	Failed
59.5191	Failed	Failed
60.2622	Failed	Failed
61.0031	Failed	Failed
61.7469	Failed	Failed
62.4879	Failed	Failed
63.2296	Failed	Failed
63.9733	Failed	Failed
64.7165	Failed	Failed
65.4573	Failed	Failed
66.1999	Failed	Failed
66.9415	Failed	Failed
67.6865	Failed	Failed
68.4283	Failed	Failed
69.1699	Failed	Failed
69.9114	Failed	Failed
70.6441	Failed	Failed
71.3848	Failed	Failed
72.1264	Failed	Failed
72.8688	Failed	Failed
73.6115	Failed	Failed
74.3555	Failed	Failed
75.0996	Failed	Failed
75.8434	Failed	Failed
76.5859	Failed	Failed
77.3300	Failed	Failed
78.0750	Failed	Failed
78.8190	Failed	Failed
79.5605	Failed	Failed
80.3056	Failed	Failed
81.0486	Failed	Failed
81.7910	Failed	Failed
82.5334	Failed	Failed
83.2766	Failed	Failed
84.0191	Failed	Failed
84.7633	Failed	Failed
85.5055	Failed	Failed
86.2473	Failed	Failed
86.9889	Failed	Failed
87.7323	Failed	Failed
88.4750	Failed	Failed
89.2200	Failed	Failed
89.9615	Failed	Failed
90.7046	Failed	Failed
91.4472	Failed	Failed
92.1886	Failed	Failed
92.9289	Failed	Failed
93.6696	Failed	Failed
94.4109	Failed	Failed
95.1541	Failed	Failed
95.8940	Failed	Failed
96.6349	Failed	Failed
97.3759	Failed	Failed
98.1186	Failed	Failed
98.8623	Failed	Failed
99.6050	Failed	Failed
100.3493	Failed	Failed
101.0916	Failed	Failed
101.8356	Failed	Failed
102.5786	Failed	Failed
103.3203	Failed	Failed
104.0636	Failed	Failed
104.8059	Failed	Failed
105.5471	Failed	Failed
106.2913	Failed	Failed
107.0345	Failed	Failed
107.7773	Failed	Failed
108.5188	Failed	Failed
109.2621	Failed	Failed
110.0046	Failed	Failed
110.7465	Failed	Failed
111.4873	Failed	Failed
112.2291	Failed	Failed
112.9708	Failed	Failed
113.7141	Failed	Failed
114.4578	Failed	Failed
115.2006	Failed	Failed
115.9429	Failed	Failed
116.6845	Failed	Failed
117.4264	Failed	Failed
118.1681	Failed	Failed
118.9104	Failed	Failed
119.6525	Failed	Failed
120.3955	Failed	Failed
121.1375	Failed	Failed
121.8795	Failed	Failed
122.6218	Failed	Failed
123.3644	Failed	Failed
124.1071	Failed	Failed
124.8520	Failed	Failed
125.5917	Failed	Failed
126.3351	Failed	Failed
127.0786	Failed	Failed
127.8229	Failed	Failed
128.5648	Failed	Failed
129.3075	Failed	Failed
130.0509	Failed	Failed
130.7907	Failed	Failed
131.5235	Failed	Failed
132.2645	Failed	Failed
133.0065	Failed	Failed
133.7474	Failed	Failed
134.4883	Failed	Failed
135.2304	Failed	Failed
135.9737	Failed	Failed
136.7161	Failed	Failed
137.4563	Failed	Failed
138.1969	Failed	Failed
138.9369	Failed	Failed
139.6775	Failed	Failed
140.4199	Failed	Failed
141.1615	Failed	Failed
141.9028	Failed	Failed
142.6425	Failed	Failed
143.3826	Failed	Failed
144.1230	Failed	Failed
144.8651	Failed	Failed
145.6068	Failed	Failed
146.3506	Failed	Failed
147.0922	Failed	Failed
147.8362	Failed	Failed
148.5742	Failed	Failed
149.3168	Failed	Failed
150.0584	Failed	Failed
150.8008	Failed	Failed
151.5420	Failed	Failed
152.2843	Failed	Failed
153.0257	Failed	Failed
153.7668	Failed	Failed
154.5079	Failed	Failed
155.2488	Failed	Failed
155.9881	Failed	Failed
156.7299	Failed	Failed
157.4711	0.00	0.00
158.2114	0.00	0.00
158.9528	0.00	0.00
159.6947	0.00	0.00
160.4368	0.00	0.00
161.1670	0.00	0.00
161.9064	0.00	0.00
162.9711	0.00	0.00
165.5964	0.00	0.00
166.7129	0.00	0.00
167.0579	0.00	0.00
167.4098	0.00	0.00
167.7453	0.00	0.00
168.0809	0.00	0.00
168.4171	0.00	0.00
168.7565	0.00	0.00
169.0934	0.00	0.00
169.4315	0.00	0.00
169.7707	0.00	0.00
170.1069	0.00	0.00
170.4433	0.00	0.00
170.7811	0.00	0.00
171.1169	0.00	0.00
171.4523	0.00	0.00
