,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
0,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
1,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
2,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
3,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
4,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
5,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
6,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
7,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
8,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
9,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
10,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
11,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
12,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
13,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
14,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
15,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
16,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
17,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
18,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
19,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
20,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
21,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
22,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
23,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
24,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
25,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
26,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
27,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
28,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
29,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
30,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
31,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
32,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
33,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
34,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
35,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
36,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
37,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
38,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
39,31.833197,82.38765,243.44801,683.51587,789.3779,789.3779
40,31.833675,82.38919,243.45293,683.52026,789.3779,789.3779
41,32.073586,83.15922,245.91177,685.7272,789.3779,789.3779
42,32.31349,83.92925,248.37064,687.9341,789.3779,789.3779
43,32.5534,84.69929,250.82948,690.141,789.3779,789.3779
44,32.793304,85.469315,253.28833,692.3479,789.3779,789.3779
45,33.033215,86.23934,255.74718,694.5548,789.3779,789.3779
46,33.27312,87.00938,258.20602,696.7617,789.3779,789.3779
47,33.513027,87.7794,260.6649,698.9686,789.3779,789.3779
48,33.752937,88.54944,263.12372,701.17554,789.3779,789.3779
49,33.992844,89.319466,265.58258,703.38245,789.3779,789.3779
50,34.23275,90.08949,268.0414,705.58936,789.3779,789.3779
51,34.472656,90.85953,270.50027,707.79626,789.3779,789.3779
52,34.712566,91.62956,272.95914,710.0032,789.3779,789.3779
53,34.952473,92.39959,275.41797,712.2101,789.3779,789.3779
54,35.19238,93.16962,277.87683,714.417,789.3779,789.3779
55,35.43229,93.93965,280.3357,716.6239,789.3779,789.3779
56,35.672195,94.70968,282.79453,718.8308,789.3779,789.3779
57,35.9121,95.47971,285.2534,721.0377,789.3779,789.3779
58,36.152008,96.24974,287.71222,723.2446,789.3779,789.3779
59,36.391914,97.019775,290.17108,725.4515,789.3779,789.3779
60,36.631824,97.7898,292.6299,727.6584,789.3779,789.3779
61,36.87173,98.55984,295.08878,729.8653,789.3779,789.3779
62,37.11164,99.329865,297.54764,732.0722,789.3779,789.3779
63,37.351547,100.0999,300.00647,734.2791,789.3779,789.3779
64,37.591454,100.86993,302.46533,736.486,789.3779,789.3779
65,37.83136,101.63996,304.9242,738.69293,789.3779,789.3779
66,38.07127,102.40999,307.38303,740.89984,789.3779,789.3779
67,38.311176,103.18002,309.8419,743.10675,789.3779,789.3779
68,38.551083,103.95005,312.30072,745.31366,789.3779,789.3779
69,38.79099,104.72008,314.75958,747.52057,789.3779,789.3779
70,39.0309,105.49011,317.2184,749.7275,789.3779,789.3779
71,39.270805,106.26015,319.67728,751.9344,789.3779,789.3779
72,39.51071,107.030174,322.1361,754.1413,789.3779,789.3779
73,39.75062,107.8002,324.59497,756.3482,789.3779,789.3779
74,39.99053,108.57024,327.05383,758.5551,789.3779,789.3779
75,40.230434,109.34026,329.51266,760.762,789.3779,789.3779
76,40.47034,110.1103,331.97153,762.96893,789.3779,789.3779
77,40.71025,110.880325,334.4304,765.17584,789.3779,789.3779
78,40.950157,111.65036,336.88922,767.38275,789.3779,789.3779
79,41.190063,112.42039,339.34808,769.58966,789.3779,789.3779
80,41.429752,113.189705,341.8046,771.7892,789.3779,789.3779
81,41.615143,113.780975,343.6849,772.1559,789.3779,789.3779
82,41.800537,114.372246,345.56525,772.5226,789.3779,789.3779
83,41.985928,114.963524,347.44556,772.8893,789.3779,789.3779
84,42.171318,115.554794,349.32587,773.256,789.3779,789.3779
85,42.356712,116.146065,351.2062,773.62274,789.3779,789.3779
86,42.542103,116.73734,353.08652,773.98944,789.3779,789.3779
87,42.727493,117.328606,354.96683,774.35614,789.3779,789.3779
88,42.912884,117.919876,356.84714,774.72284,789.3779,789.3779
