,Nx,Nt,Error
0,2,2,0.2572050000392754
1,2,3,0.2138494697548622
2,2,4,0.2146018361356259
3,2,5,0.2146062700975287
4,2,6,0.21461859652834947
5,2,7,0.21463123336111287
6,2,8,0.2146417681670874
7,2,9,0.21465009738285765
8,2,10,0.21465661883572784
9,2,11,0.2146617499898723
10,2,12,0.21466582812316745
11,2,13,0.21466910725015392
12,2,14,0.21467177497250492
13,2,15,0.2146739697052234
14,2,16,0.2146757942562742
15,2,17,0.21467732574471665
16,2,18,0.2146786226637718
17,2,19,0.2146797298833738
18,2,20,0.21468068220553044
19,2,21,0.2146815069103392
20,2,22,0.21468222559680933
21,2,23,0.2146828555276068
22,2,24,0.2146834106217871
23,2,25,0.21468390219538022
24,2,26,0.21468433951942234
25,2,27,0.2146847302445189
26,2,28,0.2146850807268691
27,2,29,0.21468539628078054
28,2,30,0.21468568137594432
29,2,31,0.21468593979268266
30,2,32,0.21468617474510554
31,2,33,0.2146863889794538
32,2,34,0.21468658485318462
33,2,35,0.2146867643989184
34,2,36,0.21468692937654052
35,2,37,0.21468708131580405
36,2,38,0.21468722155141692
37,2,39,0.21468735125203867
38,2,40,0.2146874714444044
39,2,41,0.21468758303345767
40,2,42,0.21468768681925576
41,2,43,0.21468778351116902
42,2,44,0.2146878737399269
43,2,45,0.2146879580678567
44,2,46,0.21468803699751388
45,2,47,0.214688110979194
46,2,48,0.21468818041727386
47,2,49,0.2146882456757217
48,2,50,0.21468830708284223
49,2,51,0.21468836493537882
50,2,52,0.21468841950205816
51,2,53,0.2146884710267441
52,2,54,0.21468851973111688
53,2,55,0.2146885658170495
54,2,56,0.21468860946868973
55,2,57,0.21468865085429162
56,2,58,0.2146886901278574
57,2,59,0.21468872743052075
58,3,2,0.2564181405199362
59,3,3,0.08904919227312327
60,3,4,0.09411635211538869
61,3,5,0.09308371583163007
62,3,6,0.09310032687155526
63,3,7,0.09310031747866965
64,3,8,0.09310031808169643
65,3,9,0.09310032309697781
66,3,10,0.09310033462540161
67,3,11,0.09310035109840939
68,3,12,0.09310037012832151
69,3,13,0.09310038985020798
70,3,14,0.0931004090963162
71,3,15,0.09310042723290021
72,3,16,0.09310044397172833
73,3,17,0.09310045922963632
74,3,18,0.09310047303720247
75,3,19,0.09310048548306173
76,3,20,0.09310049668134254
77,3,21,0.09310050675324795
78,3,22,0.09310051581714239
79,3,23,0.09310052398356422
80,3,24,0.09310053135313338
81,3,25,0.09310053801596979
82,3,26,0.0931005440520495
83,3,27,0.09310054953188847
84,3,28,0.09310055451748037
85,3,29,0.09310055906321625
86,3,30,0.0931005632167981
87,3,31,0.09310056702007645
88,3,32,0.0931005705097763
89,3,33,0.09310057371820399
90,3,34,0.09310057667378328
91,3,35,0.09310057940159995
92,3,36,0.09310058192381222
93,3,37,0.09310058426004258
94,3,38,0.09310058642768956
95,3,39,0.09310058844223244
96,3,40,0.09310059031745958
97,3,41,0.0931005920656688
98,3,42,0.09310059369786813
99,3,43,0.09310059522392203
100,3,44,0.093100596652697
101,3,45,0.09310059799215403
102,3,46,0.09310059924947484
103,3,47,0.09310060043114958
104,3,48,0.09310060154305472
105,3,49,0.09310060259049947
106,3,50,0.0931006035783126
107,3,51,0.09310060451088387
108,3,52,0.0931006053922231
109,3,53,0.09310060622597444
110,3,54,0.09310060701545231
111,3,55,0.0931006077637219
112,3,56,0.09310060847357597
113,3,57,0.09310060914757763
114,3,58,0.09310060978807516
115,3,59,0.0931006103972282
116,4,2,0.2817697031722472
117,4,3,0.08717249560321018
118,4,4,0.06260855961121883
119,4,5,0.05095583295241906
120,4,6,0.05224775931822976
121,4,7,0.051895332638845305
122,4,8,0.05194551480249539
123,4,9,0.05194020658094923
124,4,10,0.05194056467295531
125,4,11,0.05194055064642674
126,4,12,0.05194055133905009
127,4,13,0.05194055193460478
128,4,14,0.051940552671729104
129,4,15,0.05194055349017523
130,4,16,0.05194055434235403
131,4,17,0.051940555193824366
132,4,18,0.051940556021739644
133,4,19,0.05194055681215081
134,4,20,0.05194055755741529
135,4,21,0.05194055825418957
136,4,22,0.051940558901911744
137,4,23,0.05194055950177071
138,4,24,0.051940560055985706
139,4,25,0.051940560567346736
140,4,26,0.05194056103885411
141,4,27,0.05194056147359496
142,4,28,0.0519405618745486
143,4,29,0.05194056224458303
144,4,30,0.05194056258634235
145,4,31,0.051940562902317376
146,4,32,0.05194056319475932
147,4,33,0.051940563465732996
148,4,34,0.051940563717132224
149,4,35,0.05194056395064426
150,4,36,0.051940564167831
151,4,37,0.05194056437007159
152,4,38,0.05194056455864891
153,4,39,0.051940564734692954
154,4,40,0.0519405648992506
155,4,41,0.051940565053247366
156,4,42,0.051940565197543136
157,4,43,0.051940565332891396
158,4,44,0.0519405654600141
159,4,45,0.05194056557951713
160,4,46,0.051940565691983305
161,4,47,0.05194056579796055
162,4,48,0.05194056589790511
163,4,49,0.051940565992254294
164,4,50,0.05194056608142244
165,4,51,0.0519405661657608
166,4,52,0.051940566245606556
167,4,53,0.051940566321276
168,4,54,0.05194056639304199
169,4,55,0.051940566461164385
170,4,56,0.05194056652587079
171,4,57,0.05194056658740402
172,4,58,0.0519405666459548
173,4,59,0.05194056670169867
174,5,2,0.29081767603146896
175,5,3,0.11020836087319832
176,5,4,0.06273525667720649
177,5,5,0.03416250788606766
178,5,6,0.03518839948900032
179,5,7,0.032743124985164844
180,5,8,0.03322290527122415
181,5,9,0.033097949481844434
182,5,10,0.03312005069132213
183,5,11,0.033116882293159185
184,5,12,0.03311722697278745
185,5,13,0.03311719924225458
186,5,14,0.033117200942469116
187,5,15,0.03311720101218861
188,5,16,0.033117201164401845
189,5,17,0.03311720132589818
190,5,18,0.03311720149162962
191,5,19,0.0331172016567009
192,5,20,0.03311720181773116
193,5,21,0.03311720197253566
194,5,22,0.033117202119812464
195,5,23,0.033117202258884725
196,5,24,0.03311720238951998
197,5,25,0.033117202511782844
