,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
0,21.799257,21.797787,21.797787,48.078785,142.83162,446.22528
1,21.799257,21.797787,45.454117,125.54789,380.59454,779.07306
2,21.799257,25.513483,60.733837,174.3079,529.1585,789.05176
3,21.799257,29.018568,72.50798,211.76526,623.1111,789.3429
4,21.799257,32.042667,82.449974,243.41359,683.12476,789.3932
5,21.799257,34.738007,91.216515,271.37015,721.4762,789.40393
6,21.799257,37.191544,99.146286,296.70413,745.98505,789.411
7,21.799257,39.45797,106.44114,320.03934,761.6476,789.37897
8,21.799257,41.574184,113.23277,341.7723,771.6569,789.39685
9,21.799257,43.56642,119.612915,362.17004,778.05365,789.3859
10,21.799257,45.454113,125.648346,381.41943,782.14233,789.3993
11,21.799257,47.252113,131.38953,399.65524,784.75507,789.39594
12,22.211727,48.964817,136.87556,416.97833,786.4244,789.4059
13,22.624426,50.610374,142.13792,433.46613,787.4909,789.3852
14,23.037123,52.196117,147.2019,449.1803,788.172,789.3894
15,23.449821,53.728004,152.08852,464.17145,788.60767,789.3947
16,23.86252,55.2111,156.8151,478.48248,788.8868,789.39764
17,24.275217,56.64974,161.39659,492.15073,789.0646,789.40063
18,24.687916,58.04765,165.84557,505.20926,789.179,789.4161
19,25.100613,59.40807,170.17303,517.6883,789.2512,789.3859
20,25.51331,60.733833,174.38846,529.6153,789.2985,789.3856
21,25.926008,62.02746,178.50026,541.01624,789.3274,789.3987
22,26.338707,63.291138,182.51572,551.91486,789.3463,789.42017
23,26.673752,64.524124,186.4415,562.3342,789.3586,789.38153
24,27.008709,65.73117,190.28336,572.2956,789.36633,789.38043
25,27.343668,66.913925,194.04668,581.81934,789.37164,789.36383
26,27.678625,68.07379,197.73611,590.9248,789.3739,789.40894
27,28.013584,69.21202,201.35597,599.6307,789.3762,789.3985
28,28.348541,70.329765,204.91013,607.95447,789.3767,789.3745
29,28.6835,71.42811,208.40218,615.91296,789.3762,789.4196
30,29.01846,72.50798,211.83528,623.5222,789.3768,789.41516
31,29.353418,73.570274,215.2124,630.7978,789.3772,789.35785
32,29.688375,74.61584,218.53638,637.754,789.3784,789.3912
33,30.023335,75.64543,221.80954,644.405,789.3795,789.3856
34,30.311867,76.65824,225.03432,650.76434,789.3805,789.42456
35,30.600323,77.65646,228.21288,656.8447,789.38043,789.4015
36,30.888777,78.64079,231.34721,662.65826,789.38055,789.4245
37,31.177233,79.6118,234.4391,668.2167,789.37994,789.4053
38,31.465689,80.57002,237.49031,673.53143,789.38025,789.39246
39,31.754145,81.51593,240.50252,678.613,789.3806,789.4165
40,32.0426,82.44997,243.47713,683.4717,789.3806,789.4047
41,32.331055,83.37258,246.41562,688.11707,789.38043,789.3918
42,32.61951,84.28417,249.31929,692.5588,789.3808,789.4082
43,32.907967,85.18513,252.1894,696.8058,789.3805,789.37976
44,33.19642,86.07578,255.02704,700.86615,789.38074,789.39166
45,33.453403,86.95554,257.8334,704.74866,789.3805,789.38495
46,33.71032,87.82566,260.60947,708.4609,789.3806,789.4002
47,33.967236,88.68655,263.3562,712.0101,789.3801,789.3581
48,34.224148,89.538475,266.07462,715.4037,789.3805,789.43396
49,34.481064,90.381714,268.76556,718.6484,789.3813,789.4217
50,34.737976,91.216515,271.42978,721.75073,789.3806,789.3992
51,34.994892,92.04313,274.0682,724.7171,789.3801,789.3918
52,35.25181,92.8618,276.6815,727.5532,789.3805,789.3859
53,35.50872,93.672745,279.27032,730.26495,789.38007,789.39655
54,35.765636,94.47617,281.83545,732.85767,789.38,789.4127
55,36.022552,95.27227,284.37744,735.33685,789.3799,789.38495
56,36.2564,96.06059,286.897,737.7071,789.37976,789.37775
57,36.49019,96.84192,289.3946,739.97345,789.37964,789.3879
58,36.723972,97.61655,291.87088,742.14026,789.3806,789.38605
